대체 식재료 코드,원재료 명,대체재료 명,요약설명,작성 일자,회원 아이디
1,설탕,올리고당,,2021-11-03,test
2,설탕,물엿,,2021-11-04,test
3,셀러리,파프리카,,2021-11-05,test
4,건블루베리,건크랜베리,,2021-11-06,test
5,건블루베리,건포도,,2021-11-07,test
6,쌀뜨물,물,,2021-11-08,test
7,어린잎 채소,무순,,2021-11-09,test
8,어린잎 채소,새싹 채소,,2021-11-10,test
9,어린잎 채소,없어도 가능,,2021-11-11,test
10,파마산치즈가루,없어도 가능,,2021-11-12,test
11,파슬리가루,없어도 가능,,2021-11-13,test
12,홍고추,청고추,,2021-11-14,test
13,청고추,홍고추,,2021-11-15,test
14,황설탕,백설탕,,2021-11-16,test
15,미니새송이버섯,새송이버섯,새송이버섯을 손가락 한마디 정도 사이즈로 깍둑썰기 해서 사용하셔도 좋아요.,2021-11-17,test
16,부침가루,밀가루,소금과 후추등으로 간을 해준 후 찹쌀가루를 조금 넣어도 부침가루와 같은 맛을 낼 수 있습니다,2021-11-18,test
17,튀김가루,옥수수전분 베이킹 파우더,,2021-11-19,test
18,버터,마가린,마가린으로 대체하셔도 큰 차이는 없습니다.,2021-11-20,test
19,버터,올리브유,풍미나 향이 약할수 있지만 대체하셔도 됩니다,2021-11-21,test
20,버터,식용유,팬을 이용한 조리시에 사용해주세요,2021-11-22,test
21,통후추,후추,향이나 풍미가 약해질수도 있습니다.,2021-11-23,test
22,국간장,멸치액젓,,2021-11-24,test
23,국간장,새우젓,,2021-11-25,test
24,밀가루,부침가루,,2021-11-26,test
25,청양고추,고추,,2021-11-27,test
26,표고버섯,양송이버섯,,2021-11-28,test
27,참기름,들기름,,2021-11-29,test
28,다시마 우린 물,멸치육수,,2021-11-30,test
29,다시마 우린 물,고기육수,,2021-11-30,test
30,간장,멸치액젓,,2021-12-01,test
31,사과즙,비트간것,,2021-12-02,test
32,사과즙,비트즙,,2021-11-30,test
33,청주,소주,,2021-12-03,test
34,청주,맛술,,2021-12-04,test
35,다진양파,부추 흰부분,없어도 됩니다,2021-12-06,test
36,다진마늘,후추,,2021-12-07,test
37,다진생강,소주,잡내를 잡는 용도,2021-12-08,test
38,소금,새우젓,,2021-12-09,test
39,후추,강황,,2021-12-10,test
40,표고버섯,돼지고기,,2021-12-11,test
41,표고버섯,소고기,,2021-12-12,test
42,우엉,파스닙,,2021-12-13,test
43,당근,감자,,2021-12-14,test
44,당근,양파,,2021-12-15,test
45,당근,애호박,,2021-12-16,test
46,간장,새우젓,,2021-12-17,test
47,간장,멸치액젓,,2021-12-18,test
48,맛술,청주,,2021-12-19,test
49,맛술,소주,,2021-12-20,test
50,맛술,미림,,2021-12-21,test
51,설탕,물엿,,2021-12-22,test
52,설탕,꿀,,2021-12-23,test
53,생강즙,설탕,없으면 안넣어도 됩니다,2021-12-24,test
54,생강즙,설탕,,2021-12-25,test
55,청주,소주,,2021-12-26,test
56,식용유,들기름,,2021-12-27,test
57,식용유,올리브유,,2021-12-28,test
58,식용유,포도씨유,,2021-12-29,test
59,식용유,참기름,,2021-12-30,test
60,피망,파프리카,,2021-12-31,test
61,양송이버섯,표고버섯,,2022-01-01,test
62,양송이버섯,송이버섯,,2022-01-02,test
63,양송이버섯,새송이버섯,,2022-01-03,test
64,후추 식용유,올리브오일,,2022-01-04,test
65,후추 식용유,버터,,2022-01-05,test
