1,2,3,4,5,6,7,8
1,195453,5,모양을 낸 반죽에 밀가루를 묻히고 계란을 푼 계란물을 묻혀준다.,http://file.okdab.com/recipe/148299577271000135.jpg, ,2021.11.01,test
2,195453,4,동그랑땡 반죽을 동글납작하게 모양을 잡아준다.,http://file.okdab.com/recipe/148299577270600134.jpg, ,2021.11.01,test
3,195453,3,부침가루와 전분을 넣고 계란 1개를 넣어 반죽하듯 잘 섞어준다.,http://file.okdab.com/recipe/148299577270200133.jpg, ,2021.11.01,test
4,195453,2,볼에 콩비지와 고기 다진 채소 다진마늘 후추 소금 참기름을 넣어준다.,http://file.okdab.com/recipe/148299577269600132.jpg, ,2021.11.01,test
5,195453,1,대파 호박 배추는 작게 다져준다., , ,2021.11.01,test
6,195453,6,달궈진 팬에 기름을 두르고 옷을 계란물옷을 입힌 동그랑땡을 노릇하게 익혀준다.,http://file.okdab.com/recipe/148299577271500136.jpg, ,2021.11.01,test
7,195428,8,접시에 어린잎 채소를 깔아주고 그 위에 자른 김밥을 올려준다.,http://file.okdab.com/recipe/148299332509200128.jpg, ,2021.11.01,test
8,195428,9,믹서기에 두부 식초 설탕 마요네즈 통깨를 넣고 갈아 두부드레싱을 만들어 준다.,http://file.okdab.com/recipe/148299332509700129.jpg, ,2021.11.01,test
9,195428,10,접시에 담긴 김밥위에 두부 드레싱을 뿌려준다.,http://file.okdab.com/recipe/148299332510100130.jpg, ,2021.11.01,test
10,195428,7,완성된 김밥위에 참기름과 통깨를 발라 먹기 좋은 크기로 잘라준다.,http://file.okdab.com/recipe/148299332508800127.jpg, ,2021.11.01,test
11,195428,6,김발과 랩을 빼 주며 김밥을 말아 준다.,http://file.okdab.com/recipe/148299332508400126.jpg, ,2021.11.01,test
12,195428,5,뒤집은 김위에 김밥속 재료인 당근 가지 오이를 올려준다.,http://file.okdab.com/recipe/148299332508000125.jpg, ,2021.11.01,test
