0,2,3,4,5,6
195465,195453,계란,5개,3060001,주재료
195464,195453,전분,1/2T,3060001,주재료
195463,195453,부침가루,1/2T,3060001,주재료
195462,195453,소금,2t,3060001,주재료
195461,195453,후추,1/2t,3060001,주재료
195460,195453,참기름,1T,3060001,주재료
195466,195453,밀가루,2CUP,3060001,주재료
195458,195453,배추,2잎,3060001,주재료
195457,195453,호박,1/2개,3060001,주재료
195456,195453,대파,1대,3060001,주재료
195455,195453,다짐육,200g,3060001,주재료
195454,195453,콩비지,300g,3060001,주재료
195459,195453,다진마늘,1T,3060001,주재료
195442,195428,통깨,0.5T,3060003,양념
195441,195428,마요네즈,1T,3060003,양념
195440,195428,설탕,0.5T,3060003,양념
195439,195428,식초,0.5T,3060003,양념
195438,195428,두부,2.5T,3060003,양념
195437,195428,소금,약간,3060001,주재료
195436,195428,참기름,약간,3060001,주재료
195435,195428,통깨,약간,3060001,주재료
195434,195428,김밥용김,2장,3060001,주재료
195433,195428,어린잎채소,약간,3060001,주재료
195432,195428,가지,1/2개,3060001,주재료
195431,195428,당근,1/2개,3060001,주재료
195429,195428,밥,3공기,3060001,주재료
195430,195428,오이,1/2개,3060001,주재료
180380,180363,설탕,1+1/2T,3060003,양념
180379,180363,통깨,약간,3060003,양념
180382,180363,식초,2T,3060003,양념
180381,180363,고추장,2T,3060003,양념
180378,180363,소금,약간,3060001,주재료
180377,180363,쪽파,15대,3060001,주재료
180376,180363,중새우,15마리,3060001,주재료
180347,180344,양파,1/8개,3060001,주재료
180346,180344,방울토마토,15알,3060001,주재료
180345,180344,밥,1공기,3060001,주재료
180353,180344,물,280ml,3060002,부재료
180349,180344,셀러리,1대,3060001,주재료
180351,180344,후추,약간,3060001,주재료
180350,180344,햄,50g,3060001,주재료
180348,180344,달걀,2개,3060001,주재료
180352,180344,카레가루,3T,3060002,부재료
180332,180330,식빵,5쪽,3060001,주재료
180333,180330,마요네즈,1T,3060001,주재료
180334,180330,꿀,1/2T,3060001,주재료
180338,180330,달걀노른자,1개,3060001,주재료
180337,180330,우유,1cup,3060001,주재료
180331,180330,고구마,2개 大,3060001,주재료
180335,180330,소금,약간,3060001,주재료
180336,180330,건블루베리,1/2T,3060001,주재료
120518,120476,후추,약간,3060003,양념
120506,120476,다진마늘,1/2T,3060002,부재료
120516,120476,들기름,1T,3060003,양념
120515,120476,통깨,약간,3060003,양념
120514,120476,소금,3t,3060003,양념
120513,120476,버섯,4개,3060002,부재료
120512,120476,두부,1/2모,3060002,부재료
120511,120476,당면,한줌,3060002,부재료
120510,120476,당근,1/6개,3060002,부재료
120509,120476,다짐육 소고기,100g,3060002,부재료
120508,120476,다짐육 돼지고기,100g,3060002,부재료
120507,120476,다진생강,2t,3060002,부재료
120517,120476,간장,1T,3060003,양념
120505,120476,달걀,1개,3060002,부재료
120504,120476,미나리,10줄기,3060001,주재료
120503,120476,배추잎,10장,3060001,주재료
120466,120463,부침가루,6T,3060001,주재료
120465,120463,양파,1/3개,3060001,주재료
120464,120463,감자,2개,3060001,주재료
120469,120463,당근채,약간,3060001,주재료
120468,120463,당근잎,약간,3060001,주재료
120467,120463,소금,약간,3060001,주재료
120452,120441,고춧가루,2T,3060003,양념
120453,120441,들기름,1T,3060003,양념
120454,120441,설탕,1/2T,3060003,양념
120455,120441,다진마늘,2T,3060003,양념
120445,120441,무,1/3개,3060001,주재료
120444,120441,양파,1/2개,3060001,주재료
120443,120441,단호박,1개,3060001,주재료
120451,120441,간장,1T,3060003,양념
120450,120441,된장,1T,3060002,부재료
120449,120441,고추장,1T,3060002,부재료
120448,120441,쌀뜨물,4컵,3060001,주재료
120442,120441,고등어,2마리,3060001,주재료
120446,120441,청양고추,2개,3060001,주재료
120447,120441,홍고추,1개,3060001,주재료
150428,120419,매실액,3T,3060003,양념
150429,120419,통깨,약간,3060003,양념
150427,120419,참기름,2T,3060003,양념
150426,120419,고추,1개,3060003,양념
150425,120419,라이스페이퍼,10장,3060001,주재료
150424,120419,연어살,200g,3060001,주재료
150423,120419,무채,50g,3060001,주재료
150422,120419,고사리,50g,3060001,주재료
150421,120419,도라지,50g,3060001,주재료
150420,120419,콩나물,50g,3060001,주재료
150419,120419,시금치,50g,3060001,주재료
120402,120401,애호박,1개,3060001,주재료
120403,120401,어린잎채소,100g,3060001,주재료
120404,120401,부침유,약간,3060001,주재료
120405,120401,간장,2T,3060003,양념
120406,120401,맛술,2T,3060003,양념
120413,120401,통깨,약간,3060003,양념
120408,120401,다진마늘,0.5T,3060003,양념
120409,120401,식초,0.5T,3060003,양념
120410,120401,청양고추,1개,3060003,양념
120411,120401,대파,1/2대,3060003,양념
120412,120401,참기름,약간,3060003,양념
120407,120401,올리브유,1T,3060003,양념
120383,120379,양파,1/2개,3060001,주재료
120384,120379,단무지,50g,3060001,주재료
120385,120379,아몬드,16알,3060001,주재료
120386,120379,견과류,약간,3060001,주재료
120387,120379,마요네즈,1T,3060003,양념
120388,120379,꿀,1T,3060003,양념
120389,120379,허브솔트,약간,3060003,양념
120390,120379,소금,2t,3060003,양념
120391,120379,머드터드,0.5T,3060003,양념
120392,120379,식초,1T,3060003,양념
120393,120379,황설탕,0.5T,3060003,양념
120380,120379,백오이,2개,3060001,주재료
120381,120379,참치캔,1캔 100g,3060001,주재료
120382,120379,삶은계란,1개,3060001,주재료
120368,120360,아몬드,2알,3060003,양념
120367,120360,다진고추,1T,3060003,양념
120366,120360,매실액,1T,3060003,양념
120365,120360,굴소스,2T,3060003,양념
120369,120360,다진식파,약간,3060001,주재료
120363,120360,에멘탈 치즈가루,1컵,3060001,주재료
120362,120360,두부,1/2모,3060001,주재료
120361,120360,가지,1개,3060001,주재료
120364,120360,굴소스,1T,3060001,주재료
120353,120344,설탕,1T,3060003,양념
120352,120344,통깨,1/2T,3060003,양념
120351,120344,다진마늘,1T,3060003,양념
120350,120344,고춧가루,1T,3060003,양념
120349,120344,간장,1/2T,3060003,양념
120348,120344,까나리액젓,1T,3060003,양념
120347,120344,쪽파,1/2대,3060003,양념
120345,120344,깻잎,30장,3060001,주재료
120346,120344,홍고추,1개,3060003,양념
105693,91023,설탕,1컵,3060003,양념
105692,91023,물,1컵,3060003,양념
105691,91023,간장,1.5컵,3060003,양념
105690,91023,식초,1컵,3060003,양념
105689,91023,고추,180g  약2줌,3060001,주재료
91013,91010,탄산수,700ml,3060001,주재료
91015,91010,얼음,20큐브,3060001,주재료
91014,91010,설탕,1T,3060001,주재료
91012,91010,허브 민트,한줌,3060001,주재료
91011,91010,라임,2개,3060001,주재료
90999,90997,슬라이스치즈,3장,3060001,주재료
91003,90997,마요네스,4T,3060003,양념
91000,90997,슬라이스햄,3장,3060001,주재료
90998,90997,모닝빵,6개,3060001,주재료
91001,90997,토마토,2개,3060001,주재료
91002,90997,어린잎채소,2줌,3060001,주재료
91004,90997,허니머스타드,2T,3060003,양념
90990,90980,설탕,1t,3060003,양념
90989,90980,통깨,조금,3060003,양념
90988,90980,식초,3T,3060003,양념
90987,90980,된장,1t,3060003,양념
90986,90980,고춧가루,2.5T,3060003,양념
90985,90980,대파,1/2대,3060001,주재료
90984,90980,청고추,1개,3060001,주재료
90983,90980,홍고추,1개,3060001,주재료
90982,90980,양파,1/2개,3060001,주재료
90981,90980,둥근호박,1/3개,3060001,주재료
90970,90960,통깨,조금,3060003,양념
90969,90960,양파,조금,3060003,양념
90968,90960,쪽파,2대,3060003,양념
90967,90960,다진마늘,1T,3060003,양념
90966,90960,풋고추,1개,3060003,양념
90971,90960,소금,조금,3060003,양념
90964,90960,쌈장,1T,3060003,양념
90963,90960,밥,2인분,3060001,주재료
90962,90960,호박잎,20장,3060001,주재료
90961,90960,가지,1개,3060001,주재료
90965,90960,간장,2T,3060003,양념
90954,90941,와사비,약간,3060003,양념
90953,90941,후추,약간,3060003,양념
90952,90941,설탕,1.5T,3060003,양념
90951,90941,식초,1.5T,3060003,양념
90950,90941,고추장,3T,3060003,양념
90949,90941,오징어,2마리,3060001,주재료
90948,90941,양파,1개,3060001,주재료
90947,90941,고추,4개,3060001,주재료
90946,90941,당근,반개,3060001,주재료
90945,90941,오이,1개,3060001,주재료
90944,90941,쑥갓,약간,3060001,주재료
90942,90941,치커리,약간,3060001,주재료
90943,90941,상추,약간,3060001,주재료
90921,90920,가지,2개,3060001,주재료
90931,90920,올리브오일,약간,3060003,양념
90930,90920,후추,약간,3060003,양념
90929,90920,소금,약간,3060003,양념
90928,90920,파마산치즈가루,2T,3060003,양념
90922,90920,양파,1/2개,3060001,주재료
90926,90920,토마토소스,200g,3060003,양념
90925,90920,파슬리가루,약간,3060001,주재료
90924,90920,피자치즈,1컵,3060001,주재료
90923,90920,다진마늘,1/2T,3060001,주재료
90927,90920,우유,4T,3060003,양념
90905,90904,가지,2개,3060001,주재료
90906,90904,양파,1/2개,3060001,주재료
90907,90904,홍고추,1개,3060001,주재료
90908,90904,청고추,1게,3060001,주재료
90909,90904,대파,1/2단,3060001,주재료
90910,90904,다진마늘,1T,3060003,양념
90911,90904,고춧가루,2T,3060003,양념
90912,90904,들기름,1/2T,3060003,양념
90913,90904,간장,1T,3060003,양념
90914,90904,소금,약간,3060003,양념
90915,90904,후추,약간,3060003,양념
90900,90894,소금,약간,3060001,주재료
90895,90894,고구마잎,100g,3060001,주재료
90896,90894,다진마늘,1/2T,3060001,주재료
90897,90894,다진파,1T,3060001,주재료
90898,90894,깨소금,1t,3060001,주재료
90899,90894,참기름,1t,3060001,주재료
90888,90881,후추,약간,3060003,양념
90886,90881,허니머스타드,1T,3060003,양념
90887,90881,소금,약간,3060003,양념
90885,90881,마요네즈,1T,3060003,양념
90884,90881,노각,1/2개,3060001,주재료
90883,90881,닭가슴살,2쪽,3060001,주재료
90882,90881,호박,1개,3060001,주재료
90871,90868,다진마늘,1T,3060001,주재료
90869,90868,방울토마토,6개,3060001,주재료
90870,90868,미니새송이버섯,400g,3060001,주재료
90872,90868,다진쪽파,약간,3060001,주재료
90873,90868,바질,약간,3060001,주재료
90875,90868,소금,1/4t,3060001,주재료
90874,90868,올리브유,약간,3060001,주재료
90858,90846,소금,2T,3060002,부재료
90857,90846,물,10컵,3060002,부재료
90855,90846,파뿌리,3개,3060002,부재료
90856,90846,양파,1/2개,3060002,부재료
90853,90846,밥,1T,3060002,부재료
90850,90846,무,작은토막 1개,3060001,주재료
90851,90846,깐밤,3개,3060001,주재료
90852,90846,소금,1T,3060001,주재료
90847,90846,오이,4개,3060001,주재료
90848,90846,노란 파프리카,1/4개,3060001,주재료
90849,90846,붉은 파프리카,1/4개,3060001,주재료
90854,90846,생강,1개,3060002,부재료
90842,90834,고추가루,1T,3060003,양념
90841,90834,액젓,1T,3060003,양념
90840,90834,매실액,1T,3060003,양념
90839,90834,다진마늘,1t,3060003,양념
90837,90834,돛나물,20g,3060001,주재료
90836,90834,부추,20g,3060001,주재료
90835,90834,오이,2개,3060001,주재료
